dataCode,ordinal,ordering,reassignments,default_value,default_related_field
1,0,,,,
2,0,,,,
3,0,,-1=NA,,
4,0,,,,
5,0,,-1=NA,,
6,0,,-1=NA,,
7,-1,,9=NA,,
8,0,,,,
9,-1,,,,
10,0,,,,
11,0,,,,
12,-1,,,,
13,,,-1=NA|-3=NA,,
14,-2,,,,
15,1,,,,
16,0,,,,
17,,,-1=NA,,
18,1,0|2|1,,,
19,0,,,,
21,-1,,-1=NA,,
22,-2,,,,
23,-2,,,,
24,-2,,,,
27,1,0|2|1,,,
29,0,,,,
30,-2,,,,
31,-2,,,,
32,-2,,,,
33,-2,,,,
34,-1,,,,
35,-2,,,,
36,-2,,,,
37,,,-3=NA|-1=NA,,
38,0,,,,
39,0,,,,
42,,,-313=NA|-818=NA,,
47,0,,,,
49,0,,,,
50,0,,,,
51,0,,,,
54,0,,,,
55,-1,,,,
56,0,,,,
59,0,,,,
60,0,,,,
71,0,,,,
73,0,,,,
74,0,,,,
75,0,,,,
76,0,,,,
77,0,,,,
78,0,,,,
79,0,,,,
80,0,,,,
81,0,,,,
82,1,,,,
83,1,,,,
84,-1,,,,
85,-1,,,,
86,0,,,,
87,0,,,,
89,0,,,,
90,0,,,,
91,0,,,,
92,0,,,,
93,0,,,,
100,-1,,,,
101,-1,,,,
102,-1,,,,
170,,,-1=NA,,
196,-1,,,,
197,-1,,,,
198,0,,,,
199,0,,,,
200,0,,,,
201,0,,,,
212,0,,8=NA|9=-1,,
216,0,,X=-1,,
217,0,,9=-1,,
219,0,,9=-1,,
220,0,,8=NA|9=-1,,
223,0,,9=-1,,
224,0,,9=-1|0=NA,,
225,0,,9=-1,,
227,0,,99=-1,,
228,0,,8=NA|9=-1,,
229,0,,8=-1|9=NA,,
230,0,,,,
231,0,,98=NA|99=-1,,
238,0,,,,
239,0,,,,
240,0,,,,
261,0,,,,
262,0,,,,
263,0,,,,
264,0,,8000=NA|9000=-1,,
265,0,,11000=NA|12000=-1,,
266,0,,6000=NA,,
267,0,,11000=NA|11001=-1|12000=-2,,
268,0,,4000=NA|5000=-1,,
269,0,,9999=-1,,
270,0,,9999=-1,,
271,0,,800=NA|900=-1,,
272,,,1900-01-01=NA,,
300,0,,,,
