FieldID	TRAIT_OF_INTEREST	EXCLUDED_NEALE	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATA_CODING	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link	EXCLUDED_PHARMA	EXCLUDED
3		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Procedural metrics > Process durations	152	Verbal interview duration	501685	554594	Complete	Integer	seconds	Data	Auxiliary	Unisex	3	1		Time taken for interview	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3	lll	REMOVE
4		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Procedural metrics > Process durations	152	Biometrics duration	497946	552238	Complete	Integer	seconds	Data	Auxiliary	Unisex	3	1		Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4	lll	REMOVE
5		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Procedural metrics > Process durations	152	Sample collection duration	501350	557015	Complete	Integer	seconds	Data	Auxiliary	Unisex	3	1		Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5	lll	REMOVE
6		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Procedural metrics > Process durations	152	Conclusion duration	499003	554109	Complete	Integer	seconds	Data	Auxiliary	Unisex	3	1		This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6	lll	REMOVE
19		YES-NEALELAB			100260	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	100018	Heel ultrasound method	324789	324789	Complete	Categorical single		Data	Primary	Unisex	1	1	100260	Method used for the Ultrasound Bone Densitometry of heel	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=19	lll	REMOVE
21	YES	YES-NEALELAB			100261	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Weight method	500860	555990	Complete	Categorical single		Data	Primary	Unisex	3	1	100261	Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21	lll	REMOVE
23		YES-NEALELAB			100270	UK Biobank Assessment Centre > Physical measures > Spirometry	100020	Spirometry method	459695	506911	Complete	Categorical single		Data	Primary	Unisex	3	1	100270	Spirometry method	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23	lll	REMOVE
31		YES-SEX			9	Population characteristics > Baseline characteristics	100094	Sex	502537	502537	Complete	Categorical single		Data	Primary	Unisex	1	1	9	Sex of participant. Acquired from central registry, updated by participant.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=31		
33						Population characteristics > Baseline characteristics	100094	Date of birth	502537	502537	Complete	Date		Data	Primary	Unisex	1	1		Date of birth of participant. Acquired from central registry, updated by participant.   This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=33		
34		YES-AGE				Population characteristics > Baseline characteristics	100094	Year of birth	502537	502537	Complete	Integer	years	Data	Primary	Unisex	1	1		Year of birth of participant. Acquired from central registry, updated by participant.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=34		
35		YES-NEALELAB			7	UK Biobank Assessment Centre > Biological sampling > Blood sample collection	100002	Was blood sampling attempted	501350	557015	Complete	Categorical single		Data	Primary	Unisex	3	1	7	Indicates whether or not taking blood samples was attempted	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=35	lll	REMOVE
36		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	Blood pressure device ID	498738	550820	Complete	Text		Data	Auxiliary	Unisex	3	1		Blood pressure (Omron) gadget ID	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=36	lll	REMOVE
37		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	Blood pressure manual sphygmomanometer device ID	498738	550820	Complete	Text		Data	Auxiliary	Unisex	3	1		Blood pressure manual sphygmomanometer gadget ID	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=37	lll	REMOVE
38		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Physical measures > Hand grip strength	100019	Hand grip dynamometer device ID	497947	552239	Complete	Text		Data	Auxiliary	Unisex	3	1		Hand grip dynamometer device id	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=38	lll	REMOVE
39		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Height measure device ID	497947	552239	Complete	Text		Data	Auxiliary	Unisex	3	1		Height measure gadget id	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=39	lll	REMOVE
40		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Manual scales device ID	497947	552239	Complete	Text		Data	Auxiliary	Unisex	3	1		Manual scales gadget id	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40	lll	REMOVE
41		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Seating box device ID	497947	552239	Complete	Text		Data	Auxiliary	Unisex	3	1		Sitting box gadget id	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41	lll	REMOVE
42		YES-NEALELAB-ROUND2				UK Biobank Assessment Centre > Physical measures > Spirometry	100020	Spirometer device ID	497947	552239	Complete	Text		Data	Auxiliary	Unisex	3	1		Spirometer gadget ID	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=42	lll	REMOVE
