FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATA_CODING	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
100001						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Food weight	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Total food weight. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100001
100002						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Energy	211034	458684	Complete	Continuous	KJ	Data	Primary	Unisex	5	1		"Total energy. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100002
100003						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Protein	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Protein. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100003
100004						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Fat	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Total fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100004
100005						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Carbohydrate	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Carbohydrate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100005
100006						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Saturated fat	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Saturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100006
100007						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Polyunsaturated fat	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Polyunsaturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100007
100008						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Total sugars	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Total sugars. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100008
100009						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Englyst dietary fibre	211034	458684	Complete	Continuous	g	Data	Primary	Unisex	5	1		"Englyst dietary fibre. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100009
100010					100014	Online follow-up > Diet by 24-hour recall > Typical diet yesterday	100097	Portion size	211019	458617	Complete	Categorical single		Data	Primary	Unisex	5	1	100014	"Question asked: """"""""How would you describe your serving size?"""""""" If the participant activated the Help feature they were shown the message:  Please compare the amount you eat with other people you know, then try to answer the question. "	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100010
100011						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Iron	211034	458684	Complete	Continuous	mg	Data	Primary	Unisex	5	1		"Iron. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100011
100012						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Vitamin B6	211034	458684	Complete	Continuous	mg	Data	Primary	Unisex	5	1		"Vitamin B6. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100012
100013						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Vitamin B12	211034	458684	Complete	Continuous	ug	Data	Primary	Unisex	5	1		"Vitamin B12. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100013
100014						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Folate	211034	458684	Complete	Continuous	ug	Data	Primary	Unisex	5	1		"Folate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100014
100015						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Vitamin C	211034	458684	Complete	Continuous	mg	Data	Primary	Unisex	5	1		"Vitamin C. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100015
100016						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Potassium	211034	458684	Complete	Continuous	mg	Data	Primary	Unisex	5	1		"Potassium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100016
100017						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Magnesium	211034	458684	Complete	Continuous	mg	Data	Primary	Unisex	5	1		"Magnesium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100017
100018						Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday	100098	Retinol	208091	442733	Complete	Continuous	ug	Data	Primary	Unisex	5	1		"Retinol. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=100018
